service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20211115,20221210
000002,0,0,0,0,0,0,0,20211115,20221210
000003,0,0,0,0,0,0,0,20211115,20221210
000004,0,0,0,0,0,0,0,20211115,20221210
000005,0,0,0,0,0,0,0,20211115,20221210
000006,0,0,0,0,0,0,0,20211115,20221210
000007,0,0,0,0,0,0,0,20211115,20221210
000008,0,0,0,0,0,0,0,20211115,20221210
000009,0,0,0,0,0,0,0,20211115,20221210
000010,0,0,0,0,0,0,0,20211115,20221210
000011,0,0,0,0,0,0,0,20211115,20221210
000012,0,0,0,0,0,0,0,20211115,20221210
000013,0,0,0,0,0,0,0,20211115,20221210
000014,0,0,0,0,0,0,0,20211115,20221210
000015,0,0,0,0,0,0,0,20211115,20221210
000016,0,0,0,0,0,0,0,20211115,20221210
000017,0,0,0,0,0,0,0,20211115,20221210
000018,0,0,0,0,0,0,0,20211115,20221210
000019,0,0,0,0,0,0,0,20211115,20221210
000020,0,0,0,0,0,0,0,20211115,20221210
000021,0,0,0,0,0,0,0,20211115,20221210
000022,0,0,0,0,0,0,0,20211115,20221210
000023,0,0,0,0,0,0,0,20211115,20221210
000024,0,0,0,0,0,0,0,20211115,20221210
000025,0,0,0,0,0,0,0,20211115,20221210
000026,0,0,0,0,0,0,0,20211115,20221210
000027,0,0,0,0,0,0,0,20211115,20221210
000028,0,0,0,0,0,0,0,20211115,20221210
000029,0,0,0,0,0,0,0,20211115,20221210
000030,0,0,0,0,0,0,0,20211115,20221210
000031,0,0,0,0,0,0,0,20211115,20221210
000032,0,0,0,0,0,0,0,20211115,20221210
000033,0,0,0,0,0,0,0,20211115,20221210
000034,0,0,0,0,0,0,0,20211115,20221210
000035,0,0,0,0,0,0,0,20211115,20221210
000036,0,0,0,0,0,0,0,20211115,20221210
000037,0,0,0,0,0,0,0,20211115,20221210
000038,0,0,0,0,0,0,0,20211115,20221210
000039,0,0,0,0,0,0,0,20211115,20221210
000040,0,0,0,0,0,0,0,20211115,20221210
000041,0,0,0,0,0,0,0,20211115,20221210
000042,0,0,0,0,0,0,0,20211115,20221210
000043,0,0,0,0,0,0,0,20211115,20221210
000044,0,0,0,0,0,0,0,20211115,20221210
